firma_id,provincia,municipio,pliego,fedatario,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
0,Valladolid,2197,808,260,1,1,1,1,1,2,4,0,0,0,0.0903,5.16,2,1
1,Leon,283,2651,96,1,1,1,1,1,1,0,0,2,0,0.0187,3.925,1,0
2,Burgos,2204,968,176,1,1,1,1,2,1,2,0,0,0,0.0439,9.249,2,0
3,Palencia,1590,1537,1,1,0,1,1,1,4,0,0,0,0,0.6401,0.917,2,1
4,Leon,2187,2137,136,1,1,1,1,1,1,0,0,0,0,0.198,3.624,0,0
5,Valladolid,415,781,25,1,1,1,0,2,1,2,0,1,0,0.0584,1.573,1,1
6,Burgos,1996,2505,156,1,1,1,1,1,1,2,0,1,0,0.1728,7.113,2,0
7,Leon,1647,324,188,1,1,1,1,1,1,0,0,0,0,0.1702,6.1,1,0
8,Burgos,1885,656,447,1,1,1,1,4,1,0,0,1,0,0.0803,11.827,0,0
9,Burgos,986,1164,246,1,1,0,1,1,1,2,0,1,0,0.0273,2.35,1,0
10,Valladolid,155,2374,407,1,1,1,1,1,1,0,0,1,0,0.7084,0.613,7,0
11,Avila,1445,1929,412,0,1,1,1,3,1,2,0,0,0,0.0706,3.006,1,1
12,Valladolid,243,1568,420,1,1,1,1,2,1,0,0,0,0,0.0126,0.592,1,0
13,Burgos,1774,697,333,0,1,1,0,1,4,3,1,1,0,0.0037,1.166,0,1
14,Segovia,878,2312,86,1,1,1,1,1,2,0,0,1,0,0.112,0.628,0,0
15,Valladolid,854,2688,123,1,1,1,1,2,1,2,0,0,0,0.048,0.626,1,0
16,Segovia,1467,299,494,1,1,1,1,1,1,1,0,0,1,0.0981,6.164,3,0
17,Palencia,502,812,108,0,1,0,1,1,2,1,0,1,0,0.1626,6.461,0,1
18,Leon,1787,255,348,1,1,1,1,1,1,2,0,0,0,0.0297,1.37,0,0
19,Segovia,616,246,375,1,1,1,1,1,1,0,0,0,0,0.0155,2.186,1,0
20,Zamora,1689,780,478,1,1,1,1,3,1,0,0,0,1,0.1697,0.383,2,0
21,Leon,11,367,477,1,1,1,1,4,1,0,0,1,0,0.0597,2.63,0,0
22,Soria,229,637,403,0,1,1,0,2,2,2,0,4,1,0.046,1.297,1,1
23,Leon,1163,2963,55,0,1,1,1,2,2,0,0,0,0,0.1354,6.236,2,0
24,Salamanca,381,681,314,1,1,1,1,1,1,0,0,1,0,0.1985,3.61,1,0
25,Burgos,363,2115,401,1,1,1,1,1,1,2,0,1,0,0.633,0.521,4,0
26,Segovia,179,2883,313,1,1,1,1,1,1,0,0,0,0,0.1184,1.275,0,0
27,Valladolid,2212,2094,97,1,1,1,1,1,1,1,0,2,0,0.079,7.183,1,0
28,Burgos,732,2612,129,1,1,1,1,2,1,1,0,0,0,0.1231,4.263,0,0
29,Valladolid,2152,2848,395,1,1,1,1,3,1,0,0,0,0,0.05,2.428,1,0
30,Salamanca,304,859,130,1,1,1,1,1,1,1,0,0,0,0.2421,3.049,1,0
31,Avila,869,274,188,1,1,1,1,1,1,0,0,1,0,0.2423,7.133,0,0
32,Salamanca,2060,2516,190,1,1,1,1,1,2,2,0,0,0,0.5281,0.0,3,1
33,Zamora,1011,2368,111,1,1,1,1,1,1,1,0,0,0,0.0952,0.521,0,0
34,Leon,1195,1893,475,1,1,1,1,1,2,0,0,0,0,0.7735,0.272,4,0
